Car_Name,Year,Selling_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
90,2014,3.35,27000,2,0,1,0
93,2013,4.75,43000,1,0,1,0
68,2017,7.25,6900,2,0,1,0
96,2011,2.85,5200,2,0,1,0
92,2014,4.6,42450,1,0,1,0
95,2018,9.25,2071,1,0,1,0
68,2015,6.75,18796,2,0,1,0
91,2015,6.5,33429,1,0,1,0
68,2016,8.75,20273,1,0,1,0
68,2015,7.45,42367,1,0,1,0
62,2017,2.85,2135,2,0,1,0
68,2015,6.85,51000,1,0,1,0
68,2015,7.5,15000,2,0,0,0
76,2015,6.1,26000,2,0,1,0
73,2009,2.25,77427,2,0,1,0
76,2016,7.75,43000,1,0,1,0
76,2015,7.25,41678,1,0,1,0
76,2016,7.75,43000,1,0,1,0
96,2015,3.25,35500,0,0,1,0
93,2010,2.65,41442,2,0,1,0
63,2016,2.85,25000,2,0,1,0
85,2017,4.9,2400,2,0,1,0
93,2011,4.4,50000,2,0,0,0
63,2014,2.5,45280,2,0,1,0
96,2013,2.9,56879,2,0,1,0
92,2011,3.0,20000,2,0,1,0
92,2013,4.15,55138,2,0,1,0
92,2017,6.0,16200,2,1,1,0
63,2010,1.95,44542,2,0,1,0
68,2015,7.45,45000,1,0,1,0
90,2012,3.1,51439,1,0,1,0
90,2011,2.35,54200,2,0,1,0
92,2014,4.95,39000,1,0,1,0
76,2014,6.0,45000,1,0,1,0
73,2014,5.5,45000,1,0,1,0
93,2011,2.95,49998,0,0,1,0
73,2015,4.65,48767,2,0,1,0
0,2003,0.35,127000,2,1,1,0
63,2016,3.0,10079,2,0,1,0
93,2003,2.25,62000,2,0,1,0
65,2016,5.85,24524,2,0,0,0
63,2014,2.55,46706,2,0,1,0
93,2008,1.95,58000,2,0,1,0
73,2014,5.5,45780,1,0,1,0
89,2012,1.25,50000,2,0,1,0
68,2014,7.5,15000,2,0,0,0
90,2013,2.65,64532,2,0,1,0
96,2006,1.05,65000,2,0,1,0
76,2015,5.8,25870,2,0,1,0
68,2017,7.75,37000,2,0,0,0
81,2012,14.9,104707,1,0,0,0
81,2015,23.0,40000,1,0,0,0
86,2017,18.0,15000,1,0,0,0
81,2013,16.0,135000,1,1,0,0
86,2005,2.75,90000,2,1,1,0
71,2009,3.6,70000,2,0,0,0
77,2015,4.5,40534,2,0,1,0
71,2010,4.75,50000,2,0,1,0
78,2014,4.1,39485,2,0,1,1
81,2014,19.99,41000,1,0,0,0
71,2013,6.95,40001,2,0,1,0
77,2015,4.5,40588,2,0,1,0
81,2014,18.75,78000,1,0,0,0
81,2015,23.5,47000,1,0,0,0
81,2017,33.0,6000,1,0,0,0
80,2014,4.75,45000,1,0,1,0
86,2017,19.75,11000,2,0,0,0
81,2010,9.25,59000,1,0,1,0
71,2011,4.35,88000,2,0,1,0
71,2016,14.25,12000,2,0,1,0
80,2014,3.95,71000,1,0,1,0
71,2011,4.5,45000,1,0,1,0
71,2013,7.45,56001,2,0,1,0
80,2011,2.65,43000,2,0,1,0
77,2014,4.9,83000,1,0,1,0
78,2015,3.95,36000,2,0,1,0
71,2013,5.5,72000,2,0,1,0
70,2004,1.5,135154,2,0,0,0
71,2010,5.25,80000,2,0,0,0
81,2012,14.5,89000,1,0,0,0
71,2016,14.73,23000,1,0,1,0
79,2015,4.75,40000,1,0,1,0
86,2017,23.0,15000,1,0,0,0
86,2015,12.5,38000,1,0,1,0
86,2005,3.49,197176,1,0,1,0
67,2006,2.5,142000,2,1,0,3
88,2010,35.0,78000,1,0,1,0
71,2012,5.9,56000,2,0,1,0
80,2013,3.45,47000,2,0,1,0
78,2014,4.75,40000,2,0,1,0
71,2009,3.8,62000,2,0,1,0
86,2014,11.25,58242,1,0,1,0
86,2005,3.51,75000,2,0,1,0
81,2015,23.0,40000,1,0,0,0
71,2008,4.0,89000,2,0,0,0
71,2012,5.85,72000,2,0,1,0
86,2016,20.75,29000,1,0,0,0
71,2017,17.0,8700,2,0,1,0
71,2013,7.05,45000,2,0,1,0
81,2010,9.65,50024,1,0,1,0
49,2016,1.75,3000,2,1,1,0
56,2017,1.7,1400,2,1,1,0
42,2017,1.65,4000,2,1,1,0
11,2017,1.45,1200,2,1,1,0
46,2017,1.35,4100,2,1,1,0
43,2015,1.35,21700,2,1,1,0
40,2014,1.35,16500,2,1,1,1
48,2013,1.25,15000,2,1,1,0
48,2016,1.2,18000,2,1,1,0
46,2017,1.2,11000,2,1,1,0
42,2016,1.2,6000,2,1,1,0
48,2016,1.15,8700,2,1,1,0
41,2014,1.15,7000,2,1,1,0
44,2016,1.15,35000,2,1,1,0
46,2015,1.15,17000,2,1,1,0
46,2015,1.11,17500,2,1,1,0
46,2013,1.1,33000,2,1,1,0
49,2015,1.1,14000,2,1,1,0
46,2015,1.1,26000,2,1,1,0
49,2013,1.05,5400,2,1,1,0
17,2016,1.05,5700,2,1,1,0
48,2011,1.05,6900,2,1,1,0
45,2016,1.05,6000,2,1,1,0
46,2013,1.0,46500,2,1,1,0
47,2012,0.95,11500,2,1,1,0
47,2009,0.9,40000,2,1,1,0
6,2017,0.9,1300,2,1,1,0
4,2016,0.75,7000,2,1,1,0
32,2017,0.8,3000,2,1,1,0
60,2017,0.78,5000,2,1,1,0
32,2017,0.75,11000,2,1,1,0
58,2015,0.75,18000,2,1,1,0
6,2017,0.75,3500,2,1,1,0
6,2016,0.72,500,2,1,1,0
51,2017,0.65,11800,2,1,1,0
14,2015,0.65,5000,2,1,1,0
37,2014,0.65,23500,2,1,1,0
20,2013,0.65,16000,2,1,1,0
32,2016,0.6,15000,2,1,1,0
7,2015,0.6,16600,2,1,1,0
37,2013,0.6,32000,2,1,1,0
5,2016,0.6,20000,2,1,1,0
57,2015,0.6,29000,2,1,1,0
57,2016,0.6,25000,2,1,1,0
12,2014,0.6,25000,2,1,1,0
51,2012,0.6,19000,2,1,1,0
20,2014,0.55,15000,2,1,1,0
60,2015,0.55,58000,2,1,1,0
15,2010,0.52,45000,2,1,1,0
15,2016,0.51,24000,2,1,1,0
52,2011,0.5,6000,2,1,1,0
26,2016,0.5,31000,2,1,1,0
16,2012,0.5,13000,2,1,1,0
16,2013,0.5,45000,2,1,1,0
61,2014,0.5,8000,2,1,1,0
31,2017,0.48,4300,2,1,0,0
54,2017,0.48,15000,2,1,1,0
60,2015,0.48,23000,2,1,1,0
38,2017,0.48,8600,2,1,1,0
31,2017,0.45,4000,2,1,0,0
8,2011,0.45,24000,2,1,1,0
52,2014,0.45,23000,2,1,1,0
16,2012,0.45,14500,2,1,1,0
7,2010,0.45,27000,2,1,1,0
28,2016,0.45,14000,2,1,1,0
1,2016,0.45,500,2,1,0,0
25,2016,0.45,1000,2,1,1,0
51,2014,0.42,42000,2,1,1,0
34,2013,0.42,12000,2,1,1,0
28,2015,0.4,14000,2,1,1,0
59,2012,0.4,5500,2,1,1,0
25,2015,0.4,6700,2,1,1,0
13,2014,0.4,13700,2,1,1,0
2,2017,0.4,1300,2,1,0,0
35,2015,0.38,38600,2,1,1,0
22,2011,0.38,75000,2,1,1,0
39,2011,0.35,30000,2,1,1,0
30,2016,0.35,24000,2,1,0,0
53,2014,0.35,19000,2,1,0,0
39,2010,0.31,213000,2,1,1,0
23,2012,0.3,60000,2,1,1,0
27,2016,0.3,50000,2,1,1,0
33,2013,0.3,30000,2,1,1,0
9,2013,0.27,21000,2,1,1,0
14,2008,0.25,26000,2,1,1,1
50,2008,0.25,1900,2,1,0,0
55,2010,0.25,22000,2,1,0,0
36,2013,0.25,32000,2,1,1,0
21,2013,0.25,18000,2,1,1,0
29,2005,0.2,55000,2,1,1,0
14,2008,0.2,60000,2,1,1,0
10,2012,0.2,25000,2,1,1,1
24,2007,0.2,49000,2,1,1,1
19,2013,0.2,24000,2,1,1,1
18,2008,0.2,50000,2,1,1,0
3,2015,0.18,35000,2,1,1,0
1,2008,0.17,500000,2,1,0,0
36,2010,0.16,33000,2,1,1,0
10,2011,0.15,35000,2,1,1,1
33,2007,0.12,53000,2,1,1,0
14,2006,0.1,92233,2,1,1,0
84,2010,3.25,58000,1,0,1,1
82,2015,4.4,28200,2,0,1,0
83,2011,2.95,53460,2,0,1,0
75,2015,2.75,28282,2,0,1,0
82,2016,5.25,3493,2,0,1,1
97,2017,5.75,12479,2,0,1,0
82,2015,5.15,34797,2,0,0,0
84,2017,7.9,3435,2,0,1,0
82,2015,4.85,21125,1,0,1,0
83,2012,3.1,35775,2,0,1,0
74,2015,11.75,43535,1,0,1,0
72,2016,11.25,22671,2,0,1,0
84,2011,2.9,31604,2,0,1,0
82,2017,5.25,20114,2,0,1,0
94,2012,4.5,36100,2,0,1,0
75,2016,2.9,12500,2,0,1,0
75,2016,3.15,15000,2,0,1,0
94,2014,6.45,45078,2,0,1,0
94,2012,4.5,36000,2,0,1,0
75,2017,3.5,38488,2,0,1,0
84,2013,4.5,32000,2,0,0,0
84,2014,6.0,77632,1,0,1,0
94,2015,8.25,61381,1,0,1,0
94,2013,5.11,36198,2,0,0,0
83,2011,2.7,22517,2,0,1,0
82,2015,5.25,24678,2,0,1,0
83,2011,2.55,57000,2,0,1,0
94,2012,4.95,60000,1,0,1,0
84,2012,3.1,52132,1,0,1,0
94,2013,6.15,45000,1,0,1,0
94,2017,9.25,15001,2,0,1,0
74,2015,11.45,12900,2,0,0,0
82,2013,3.9,53000,1,0,1,0
82,2015,5.5,4492,2,0,1,0
94,2017,9.1,15141,2,0,1,0
75,2016,3.1,11849,2,0,1,0
72,2015,11.25,68000,1,0,1,0
94,2013,4.8,60241,2,0,1,0
75,2012,2.0,23709,2,0,1,0
94,2012,5.35,32322,1,0,1,0
97,2015,4.75,35866,2,0,1,1
97,2014,4.4,34000,2,0,1,0
84,2016,6.25,7000,2,0,1,0
94,2013,5.95,49000,1,0,1,0
94,2012,5.2,71000,1,0,1,0
84,2012,3.75,35000,2,0,1,0
94,2015,5.95,36000,2,0,1,0
83,2013,4.0,30000,2,0,1,0
84,2016,5.25,17000,2,0,1,0
72,2016,12.9,35934,1,0,1,0
69,2013,5.0,56701,2,0,1,0
66,2015,5.4,31427,2,0,0,0
69,2014,7.2,48000,1,0,1,0
69,2013,5.25,54242,2,0,1,0
66,2012,3.0,53675,2,0,1,0
69,2016,10.25,49562,2,0,1,0
69,2015,8.5,40324,2,0,1,0
69,2015,8.4,25000,2,0,1,0
64,2014,3.9,36054,2,0,1,0
69,2016,9.15,29223,2,0,1,0
66,2016,5.5,5600,2,0,1,0
64,2015,4.0,40023,2,0,1,0
87,2016,6.6,16002,2,0,1,0
64,2015,4.0,40026,2,0,1,0
87,2017,6.5,21200,2,0,1,0
64,2014,3.65,35000,2,0,1,0
69,2016,8.35,19434,1,0,1,0
66,2017,4.8,19000,2,0,1,0
69,2015,6.7,18828,2,0,1,0
69,2011,4.1,69341,2,0,1,0
69,2009,3.0,69562,2,0,1,0
69,2015,7.5,27600,2,0,1,0
87,2010,2.25,61203,2,0,1,0
66,2014,5.3,16500,2,0,1,0
69,2016,10.9,30753,2,0,0,0
69,2015,8.65,24800,2,0,1,0
69,2015,9.7,21780,2,0,1,0
87,2016,6.0,4000,2,0,1,0
69,2014,6.25,40126,2,0,1,0
66,2015,5.25,14465,2,0,1,0
69,2006,2.1,50456,2,0,1,0
69,2014,8.25,63000,1,0,1,0
69,2016,8.99,9010,2,0,1,0
66,2013,3.5,9800,2,0,1,0
87,2016,7.4,15059,2,0,0,0
87,2016,5.65,28569,2,0,1,0
64,2015,5.75,44000,2,0,0,0
69,2015,8.4,34000,2,0,1,0
69,2016,10.11,10980,2,0,1,0
64,2014,4.5,19000,2,0,1,0
66,2015,5.4,31427,2,0,1,0
87,2016,6.4,12000,2,0,1,0
69,2010,3.25,38000,2,0,1,0
64,2014,3.75,33019,2,0,1,0
69,2015,8.55,60076,1,0,1,0
69,2016,9.5,33988,1,0,1,0
66,2015,4.0,60000,2,0,1,0
69,2009,3.35,87934,2,0,1,0
69,2017,11.5,9000,1,0,1,0
66,2016,5.3,5464,2,0,1,0
